idx,batch_idx,sample_idx,step,value
0,0,0,0,0.003326161066070199
0,0,0,1,0.00812715943902731
0,0,0,2,0.012937765568494797
0,0,0,3,0.017240453511476517
0,0,0,4,0.021072430536150932
0,0,0,5,0.023813219740986824
0,0,0,6,0.025470398366451263
0,0,0,7,0.026569856330752373
0,0,0,8,0.027667829766869545
0,0,0,9,0.029089035466313362
0,0,0,10,0.031136682257056236
0,0,0,11,0.03420126438140869
0,0,0,12,0.038083285093307495
0,0,0,13,0.04231957346200943
0,0,0,14,0.04585792496800423
0,0,0,15,0.04804478585720062
0,0,0,16,0.04881821572780609
0,0,0,17,0.048688847571611404
0,0,0,18,0.04851862043142319
0,0,0,19,0.048789143562316895
0,0,0,20,0.050259534269571304
0,0,0,21,0.052729010581970215
0,0,0,22,0.055599480867385864
0,0,0,23,0.059237703680992126
0,0,0,24,0.06334817409515381
0,0,0,25,0.06729257851839066
0,0,0,26,0.07030053436756134
0,0,0,27,0.07176721841096878
0,0,0,28,0.07200317084789276
0,0,0,29,0.07197077572345734
0,0,0,30,0.07225432246923447
0,0,0,31,0.07312627136707306
0,0,0,32,0.07480085641145706
0,0,0,33,0.07750371843576431
0,0,0,34,0.08096537739038467
0,0,0,35,0.0845123752951622
0,0,0,36,0.08754896372556686
0,0,0,37,0.08930227160453796
0,0,0,38,0.08959841728210449
0,0,0,39,0.08885396271944046
0,0,0,40,0.08755248785018921
0,0,0,41,0.08636294305324554
0,0,0,42,0.0860167071223259
0,0,0,43,0.08676865696907043
0,0,0,44,0.08882147073745728
0,0,0,45,0.09181684255599976
0,0,0,46,0.09516800940036774
0,0,0,47,0.09837287664413452
0,0,0,48,0.10080308467149734
0,0,0,49,0.1018114984035492
0,0,0,50,0.10100231319665909
0,0,0,51,0.09895892441272736
0,0,0,52,0.09653261303901672
0,0,0,53,0.09449891746044159
0,0,0,54,0.09365333616733551
0,0,0,55,0.09434276074171066
0,0,0,56,0.09631402790546417
0,0,0,57,0.09921734035015106
0,0,0,58,0.10206877440214157
0,0,0,59,0.1043124571442604
0,0,0,60,0.10549235343933105
0,0,0,61,0.10521328449249268
0,0,0,62,0.10335185378789902
0,0,0,63,0.10065747052431107
0,0,0,64,0.09803079068660736
0,0,0,65,0.09657014906406403
0,0,0,66,0.09687379747629166
0,0,0,67,0.09867344796657562
0,0,0,68,0.10156819224357605
0,0,0,69,0.10486281663179398
0,0,0,70,0.10796921700239182
0,0,0,71,0.11021719872951508
0,0,0,72,0.1109965369105339
0,0,0,73,0.10992906242609024
0,0,0,74,0.10782019048929214
0,0,0,75,0.10548573732376099
0,0,0,76,0.10361625254154205
0,0,0,77,0.10296164453029633
0,0,0,78,0.10345692932605743
0,0,0,79,0.10486017912626266
0,0,0,80,0.10680375248193741
0,0,0,81,0.10870791226625443
0,0,0,82,0.10996134579181671
0,0,0,83,0.11017079651355743
0,0,0,84,0.10913950204849243
0,0,0,85,0.10737296938896179
0,0,0,86,0.10550463944673538
0,0,0,87,0.10433454066514969
0,0,0,88,0.10459920018911362
0,0,0,89,0.1059633418917656
0,0,0,90,0.10817129909992218
0,0,0,91,0.11094765365123749
0,0,0,92,0.11368163675069809
0,0,0,93,0.11552713066339493
0,0,0,94,0.11603322625160217
0,0,0,95,0.11514198035001755
0,0,0,96,0.11310965567827225
0,0,0,97,0.11094151437282562
0,0,0,98,0.10933959484100342
0,0,0,99,0.10867650806903839
1,0,1,0,0.004773589316755533
1,0,1,1,0.008261657319962978
1,0,1,2,0.011619692668318748
1,0,1,3,0.01350976899266243
1,0,1,4,0.014545286074280739
1,0,1,5,0.015393686480820179
1,0,1,6,0.016149207949638367
1,0,1,7,0.017771881073713303
1,0,1,8,0.020316993817687035
1,0,1,9,0.023165954276919365
1,0,1,10,0.02576630935072899
1,0,1,11,0.027641113847494125
1,0,1,12,0.028582412749528885
1,0,1,13,0.029031239449977875
1,0,1,14,0.02946692332625389
1,0,1,15,0.030568622052669525
1,0,1,16,0.03314755856990814
1,0,1,17,0.03745086491107941
1,0,1,18,0.04301245138049126
1,0,1,19,0.04879922419786453
1,0,1,20,0.05446905270218849
1,0,1,21,0.05941145494580269
1,0,1,22,0.06265542656183243
1,0,1,23,0.06353075057268143
1,0,1,24,0.06312799453735352
1,0,1,25,0.062496211379766464
1,0,1,26,0.06221655383706093
1,0,1,27,0.06339114159345627
1,0,1,28,0.06608465313911438
1,0,1,29,0.06989125907421112
1,0,1,30,0.07416565716266632
1,0,1,31,0.07823596149682999
1,0,1,32,0.08186459541320801
1,0,1,33,0.08499322086572647
1,0,1,34,0.08720602840185165
1,0,1,35,0.0884634330868721
1,0,1,36,0.08891583979129791
1,0,1,37,0.08936157822608948
1,0,1,38,0.09108073264360428
1,0,1,39,0.09359969198703766
1,0,1,40,0.09647708386182785
1,0,1,41,0.09953532367944717
1,0,1,42,0.10237771272659302
1,0,1,43,0.1039530336856842
1,0,1,44,0.10385444760322571
1,0,1,45,0.10232288390398026
1,0,1,46,0.0996972918510437
1,0,1,47,0.09717873483896255
1,0,1,48,0.09556617587804794
1,0,1,49,0.09492652118206024
1,0,1,50,0.09516889601945877
1,0,1,51,0.09630367159843445
1,0,1,52,0.09791279584169388
1,0,1,53,0.09949298202991486
1,0,1,54,0.10109110176563263
1,0,1,55,0.10233046114444733
1,0,1,56,0.10258799046278
1,0,1,57,0.10194095969200134
1,0,1,58,0.1009356677532196
1,0,1,59,0.10022362321615219
1,0,1,60,0.10049580037593842
1,0,1,61,0.10218880325555801
1,0,1,62,0.1049889326095581
1,0,1,63,0.10805843025445938
1,0,1,64,0.11072612553834915
1,0,1,65,0.11259941011667252
1,0,1,66,0.1130983829498291
1,0,1,67,0.11168067902326584
1,0,1,68,0.10849924385547638
1,0,1,69,0.10450124740600586
1,0,1,70,0.10072624683380127
1,0,1,71,0.0981188639998436
1,0,1,72,0.09729693830013275
1,0,1,73,0.09817873686552048
1,0,1,74,0.10019613057374954
1,0,1,75,0.10235755890607834
1,0,1,76,0.1041869968175888
1,0,1,77,0.10558169335126877
1,0,1,78,0.10640805214643478
1,0,1,79,0.10623206943273544
1,0,1,80,0.1050100326538086
1,0,1,81,0.10336621105670929
1,0,1,82,0.10230433940887451
1,0,1,83,0.10274246335029602
1,0,1,84,0.10444802045822144
1,0,1,85,0.10682888329029083
1,0,1,86,0.10941199958324432
1,0,1,87,0.11169926077127457
1,0,1,88,0.11330072581768036
1,0,1,89,0.11363600194454193
1,0,1,90,0.11215803772211075
1,0,1,91,0.10929468274116516
1,0,1,92,0.10622410476207733
1,0,1,93,0.10374820232391357
1,0,1,94,0.1022745668888092
1,0,1,95,0.1016678586602211
1,0,1,96,0.10193876922130585
1,0,1,97,0.10302848368883133
1,0,1,98,0.10448351502418518
1,0,1,99,0.1058986634016037
2,0,2,0,0.003178558312356472
2,0,2,1,0.006015321705490351
2,0,2,2,0.008403155021369457
2,0,2,3,0.011220017448067665
2,0,2,4,0.014661210589110851
2,0,2,5,0.01780450902879238
2,0,2,6,0.019444240257143974
2,0,2,7,0.019002005457878113
2,0,2,8,0.016831615939736366
2,0,2,9,0.01409634854644537
2,0,2,10,0.011787869036197662
2,0,2,11,0.010697579011321068
2,0,2,12,0.011247632093727589
2,0,2,13,0.013317642733454704
2,0,2,14,0.01666317693889141
2,0,2,15,0.020986616611480713
2,0,2,16,0.02575417421758175
2,0,2,17,0.030116286128759384
2,0,2,18,0.03305075317621231
2,0,2,19,0.034376151859760284
2,0,2,20,0.03452371805906296
2,0,2,21,0.03458714485168457
2,0,2,22,0.035876136273145676
2,0,2,23,0.03855639323592186
2,0,2,24,0.04234487563371658
2,0,2,25,0.04679977148771286
2,0,2,26,0.05122900381684303
2,0,2,27,0.05501989647746086
2,0,2,28,0.057773690670728683
2,0,2,29,0.05914304405450821
2,0,2,30,0.059577617794275284
2,0,2,31,0.059960898011922836
2,0,2,32,0.06103574112057686
2,0,2,33,0.06357508897781372
2,0,2,34,0.06735575199127197
2,0,2,35,0.07198131829500198
2,0,2,36,0.07704934477806091
2,0,2,37,0.0820302665233612
2,0,2,38,0.08642559498548508
2,0,2,39,0.08953754603862762
2,0,2,40,0.09067336469888687
2,0,2,41,0.09009213745594025
2,0,2,42,0.08889809995889664
2,0,2,43,0.088040791451931
2,0,2,44,0.08796802908182144
2,0,2,45,0.08850741386413574
2,0,2,46,0.08972401916980743
2,0,2,47,0.09166064113378525
2,0,2,48,0.09386251866817474
2,0,2,49,0.09580536186695099
2,0,2,50,0.09708206355571747
2,0,2,51,0.0976770743727684
2,0,2,52,0.09784553200006485
2,0,2,53,0.09773067384958267
2,0,2,54,0.09797671437263489
2,0,2,55,0.09906795620918274
2,0,2,56,0.10098190605640411
2,0,2,57,0.10337131470441818
2,0,2,58,0.10585586726665497
2,0,2,59,0.10806775838136673
2,0,2,60,0.10948479920625687
2,0,2,61,0.10976577550172806
2,0,2,62,0.10840728133916855
2,0,2,63,0.10558043420314789
2,0,2,64,0.10233264416456223
2,0,2,65,0.09970396012067795
2,0,2,66,0.09837440401315689
2,0,2,67,0.09856249392032623
2,0,2,68,0.09981432557106018
2,0,2,69,0.10158255696296692
2,0,2,70,0.10337807238101959
2,0,2,71,0.10455598682165146
2,0,2,72,0.10490792244672775
2,0,2,73,0.10426114499568939
2,0,2,74,0.10288520902395248
2,0,2,75,0.101335808634758
2,0,2,76,0.10004283487796783
2,0,2,77,0.09981752187013626
2,0,2,78,0.10105936229228973
2,0,2,79,0.10344216227531433
2,0,2,80,0.10646674036979675
2,0,2,81,0.1098414957523346
2,0,2,82,0.11258187890052795
2,0,2,83,0.1137886717915535
2,0,2,84,0.11315573006868362
2,0,2,85,0.11041311919689178
2,0,2,86,0.10638897866010666
2,0,2,87,0.10242000967264175
2,0,2,88,0.09938497096300125
2,0,2,89,0.09775145351886749
2,0,2,90,0.09769430011510849
2,0,2,91,0.09897904098033905
2,0,2,92,0.10113665461540222
2,0,2,93,0.10373499989509583
2,0,2,94,0.10630800575017929
2,0,2,95,0.10801932960748672
2,0,2,96,0.10839330404996872
2,0,2,97,0.10755909979343414
2,0,2,98,0.10600578039884567
2,0,2,99,0.10442624241113663
3,0,3,0,0.022344594821333885
3,0,3,1,0.026455795392394066
3,0,3,2,0.03443063795566559
3,0,3,3,0.040825847536325455
3,0,3,4,0.04704565554857254
3,0,3,5,0.05275274068117142
3,0,3,6,0.05708380788564682
3,0,3,7,0.06020961329340935
3,0,3,8,0.06283719092607498
3,0,3,9,0.06519362330436707
3,0,3,10,0.06701282411813736
3,0,3,11,0.06847644597291946
3,0,3,12,0.07107488811016083
3,0,3,13,0.07450605183839798
3,0,3,14,0.07790800929069519
3,0,3,15,0.08153832703828812
3,0,3,16,0.0846581682562828
3,0,3,17,0.08622903376817703
3,0,3,18,0.08661086857318878
3,0,3,19,0.08579948544502258
3,0,3,20,0.08478463441133499
3,0,3,21,0.085029236972332
3,0,3,22,0.0868246927857399
3,0,3,23,0.08937894552946091
3,0,3,24,0.09135910123586655
3,0,3,25,0.09217731654644012
3,0,3,26,0.09175227582454681
3,0,3,27,0.09031045436859131
3,0,3,28,0.0882301852107048
3,0,3,29,0.0861714631319046
3,0,3,30,0.08441232144832611
3,0,3,31,0.08332882076501846
3,0,3,32,0.0830957293510437
3,0,3,33,0.08371194452047348
3,0,3,34,0.08471371233463287
3,0,3,35,0.08564728498458862
3,0,3,36,0.08645550906658173
3,0,3,37,0.087024986743927
3,0,3,38,0.0873180478811264
3,0,3,39,0.08763463795185089
3,0,3,40,0.0883767157793045
3,0,3,41,0.0892774909734726
3,0,3,42,0.08990833163261414
3,0,3,43,0.08994680643081665
3,0,3,44,0.08973285555839539
3,0,3,45,0.08993465453386307
3,0,3,46,0.09002597630023956
3,0,3,47,0.08921374380588531
3,0,3,48,0.08785262703895569
3,0,3,49,0.08734804391860962
3,0,3,50,0.08836407959461212
3,0,3,51,0.08993460983037949
3,0,3,52,0.0919254720211029
3,0,3,53,0.09409943968057632
3,0,3,54,0.09573406726121902
3,0,3,55,0.09646180272102356
3,0,3,56,0.09673447906970978
3,0,3,57,0.09680546075105667
3,0,3,58,0.09739319235086441
3,0,3,59,0.0983148068189621
3,0,3,60,0.09922708570957184
3,0,3,61,0.10025405138731003
3,0,3,62,0.10162856429815292
