idx,batch_idx,sample_idx,step,value
0,0,0,0,0.00010383206972619519
0,0,0,1,0.00021461262076627463
0,0,0,2,0.00041955639608204365
0,0,0,3,0.0005429385346360505
0,0,0,4,0.0005662599578499794
0,0,0,5,0.0005557977128773928
0,0,0,6,0.0005481309490278363
0,0,0,7,0.0005329850828275084
0,0,0,8,0.00048342355876229703
0,0,0,9,0.0003959283058065921
0,0,0,10,0.0003171206044498831
0,0,0,11,0.00033245806116610765
0,0,0,12,0.0005101460264995694
0,0,0,13,0.0008644601330161095
0,0,0,14,0.0013481427449733019
0,0,0,15,0.001887601101770997
0,0,0,16,0.002430531894788146
0,0,0,17,0.002976302057504654
0,0,0,18,0.0035868226550519466
0,0,0,19,0.0043738167732954025
0,0,0,20,0.005441700108349323
0,0,0,21,0.006871062330901623
0,0,0,22,0.008691418915987015
0,0,0,23,0.010859987698495388
0,0,0,24,0.013270766474306583
0,0,0,25,0.015766270458698273
0,0,0,26,0.01814226806163788
0,0,0,27,0.0202032420784235
0,0,0,28,0.02183009684085846
0,0,0,29,0.023024139925837517
0,0,0,30,0.023890232667326927
0,0,0,31,0.024584919214248657
0,0,0,32,0.025247519835829735
0,0,0,33,0.025935105979442596
0,0,0,34,0.02663753554224968
0,0,0,35,0.02730049006640911
0,0,0,36,0.027894174680113792
0,0,0,37,0.028458306565880775
0,0,0,38,0.029071321710944176
0,0,0,39,0.029833124950528145
0,0,0,40,0.030834415927529335
0,0,0,41,0.03216109424829483
0,0,0,42,0.03390604257583618
0,0,0,43,0.03616613149642944
0,0,0,44,0.03900718316435814
0,0,0,45,0.0424700491130352
0,0,0,46,0.04651147872209549
0,0,0,47,0.05099125951528549
0,0,0,48,0.0557129830121994
0,0,0,49,0.06041758134961128
0,0,0,50,0.06490015983581543
0,0,0,51,0.06901498883962631
0,0,0,52,0.07273329049348831
0,0,0,53,0.07612396031618118
0,0,0,54,0.07932016998529434
0,0,0,55,0.08249680697917938
0,0,0,56,0.08583230525255203
0,0,0,57,0.08946224302053452
0,0,0,58,0.09342972934246063
0,0,0,59,0.09767065197229385
0,0,0,60,0.10197015851736069
0,0,0,61,0.1060330793261528
0,0,0,62,0.10956637561321259
0,0,0,63,0.11233824491500854
0,0,0,64,0.11429276317358017
0,0,0,65,0.11551567912101746
0,0,0,66,0.11623378098011017
0,0,0,67,0.11678239703178406
0,0,0,68,0.11751826852560043
0,0,0,69,0.11877414584159851
0,0,0,70,0.12079859524965286
0,0,0,71,0.12373573333024979
0,0,0,72,0.12756222486495972
0,0,0,73,0.13213233649730682
0,0,0,74,0.13713005185127258
0,0,0,75,0.14217166602611542
0,0,0,76,0.14683760702610016
0,0,0,77,0.15079045295715332
0,0,0,78,0.1538120061159134
0,0,0,79,0.1558874249458313
0,0,0,80,0.1571650505065918
0,0,0,81,0.15791185200214386
0,0,0,82,0.15845990180969238
0,0,0,83,0.15913233160972595
0,0,0,84,0.16016660630702972
0,0,0,85,0.16165392100811005
0,0,0,86,0.16353534162044525
0,0,0,87,0.1655934751033783
0,0,0,88,0.16750454902648926
0,0,0,89,0.16896244883537292
0,0,0,90,0.16971105337142944
0,0,0,91,0.16966301202774048
0,0,0,92,0.16888479888439178
0,0,0,93,0.1676238775253296
0,0,0,94,0.1662260740995407
0,0,0,95,0.16510461270809174
0,0,0,96,0.16463766992092133
0,0,0,97,0.16515740752220154
0,0,0,98,0.1668357253074646
0,0,0,99,0.1696876585483551
1,0,1,0,0.00010282669245498255
1,0,1,1,0.00020640465663746
1,0,1,2,0.0004868722753599286
1,0,1,3,0.0004919380298815668
1,0,1,4,0.0003495588025543839
1,0,1,5,0.0002605295449029654
1,0,1,6,0.0002631961542647332
1,0,1,7,0.00033078042906709015
1,0,1,8,0.0004280920256860554
1,0,1,9,0.0005153717356733978
1,0,1,10,0.0005467247101478279
1,0,1,11,0.0004918876220472157
1,0,1,12,0.00037964500370435417
1,0,1,13,0.00034998703631572425
1,0,1,14,0.0006221645162440836
1,0,1,15,0.0013781384332105517
1,0,1,16,0.002664466155692935
1,0,1,17,0.004375013522803783
1,0,1,18,0.006318185944110155
1,0,1,19,0.008312564343214035
1,0,1,20,0.010229949839413166
1,0,1,21,0.01200941577553749
1,0,1,22,0.013628609478473663
1,0,1,23,0.015120605006814003
1,0,1,24,0.016549132764339447
1,0,1,25,0.01798664592206478
1,0,1,26,0.01949743553996086
1,0,1,27,0.02111917734146118
1,0,1,28,0.022855119779706
1,0,1,29,0.024639489129185677
1,0,1,30,0.026369232684373856
1,0,1,31,0.02796337753534317
1,0,1,32,0.02940564602613449
1,0,1,33,0.03077094815671444
1,0,1,34,0.0321667306125164
1,0,1,35,0.033701665699481964
1,0,1,36,0.03544105961918831
1,0,1,37,0.037395987659692764
1,0,1,38,0.03952133655548096
1,0,1,39,0.04178697615861893
1,0,1,40,0.04417949914932251
1,0,1,41,0.04672454670071602
1,0,1,42,0.04945594444870949
1,0,1,43,0.052444878965616226
1,0,1,44,0.055750519037246704
1,0,1,45,0.05948363244533539
1,0,1,46,0.06379148364067078
1,0,1,47,0.0688125416636467
1,0,1,48,0.07463879138231277
1,0,1,49,0.08122766762971878
1,0,1,50,0.08840584009885788
1,0,1,51,0.09582681953907013
1,0,1,52,0.10305541008710861
1,0,1,53,0.10968177765607834
1,0,1,54,0.11543619632720947
1,0,1,55,0.12024170160293579
1,0,1,56,0.12418081611394882
1,0,1,57,0.12747032940387726
1,0,1,58,0.13039427995681763
1,0,1,59,0.13326287269592285
1,0,1,60,0.13633540272712708
1,0,1,61,0.13977724313735962
1,0,1,62,0.1436098963022232
1,0,1,63,0.1476903259754181
1,0,1,64,0.15171365439891815
1,0,1,65,0.15532033145427704
1,0,1,66,0.1581539511680603
1,0,1,67,0.1599883884191513
1,0,1,68,0.16077199578285217
1,0,1,69,0.16064977645874023
1,0,1,70,0.15993732213974
1,0,1,71,0.1590328812599182
1,0,1,72,0.15837810933589935
1,0,1,73,0.15836626291275024
1,0,1,74,0.15927636623382568
1,0,1,75,0.16124209761619568
1,0,1,76,0.16422602534294128
1,0,1,77,0.16799743473529816
1,0,1,78,0.17218148708343506
1,0,1,79,0.1763060986995697
1,0,1,80,0.17989633977413177
1,0,1,81,0.18256695568561554
1,0,1,82,0.18409180641174316
1,0,1,83,0.1844719648361206
1,0,1,84,0.1839049905538559
1,0,1,85,0.18273377418518066
1,0,1,86,0.1813393235206604
1,0,1,87,0.1801062524318695
1,0,1,88,0.17927296459674835
1,0,1,89,0.17895472049713135
1,0,1,90,0.1790297031402588
1,0,1,91,0.1792488694190979
1,0,1,92,0.17927654087543488
1,0,1,93,0.1787782609462738
1,0,1,94,0.17754122614860535
1,0,1,95,0.17550000548362732
1,0,1,96,0.17280550301074982
1,0,1,97,0.16973918676376343
1,0,1,98,0.16669438779354095
1,0,1,99,0.16408348083496094
2,0,2,0,9.155617590295151e-05
2,0,2,1,0.00019912206334993243
2,0,2,2,0.0005032133776694536
2,0,2,3,0.000648566463496536
2,0,2,4,0.0006340289837680757
2,0,2,5,0.0005595372058451176
2,0,2,6,0.0005128315533511341
2,0,2,7,0.0005428291042335331
2,0,2,8,0.000654559291433543
2,0,2,9,0.000824357382953167
2,0,2,10,0.0010088434210047126
2,0,2,11,0.0011584785534068942
2,0,2,12,0.001242365688085556
2,0,2,13,0.0012789703905582428
2,0,2,14,0.0013593086041510105
2,0,2,15,0.0016330652870237827
2,0,2,16,0.0022714631631970406
2,0,2,17,0.0033913664519786835
2,0,2,18,0.004983595106750727
2,0,2,19,0.006909377872943878
2,0,2,20,0.008952302858233452
2,0,2,21,0.010906649753451347
2,0,2,22,0.012642452493309975
2,0,2,23,0.014115181751549244
2,0,2,24,0.015352850779891014
2,0,2,25,0.016423895955085754
2,0,2,26,0.01740921474993229
2,0,2,27,0.01838713511824608
2,0,2,28,0.01941457949578762
2,0,2,29,0.02053755894303322
2,0,2,30,0.02177242562174797
2,0,2,31,0.02313522808253765
2,0,2,32,0.02462068200111389
2,0,2,33,0.026202578097581863
2,0,2,34,0.027834530919790268
2,0,2,35,0.02949431911110878
2,0,2,36,0.03120247833430767
2,0,2,37,0.03303799405694008
2,0,2,38,0.03508494794368744
2,0,2,39,0.037427209317684174
2,0,2,40,0.04008667916059494
2,0,2,41,0.04300139471888542
2,0,2,42,0.046064138412475586
2,0,2,43,0.049116749316453934
2,0,2,44,0.05203595757484436
2,0,2,45,0.05473906919360161
2,0,2,46,0.05721461772918701
2,0,2,47,0.05954568088054657
2,0,2,48,0.06189307942986488
2,0,2,49,0.0644664391875267
2,0,2,50,0.06749190390110016
2,0,2,51,0.07117483764886856
2,0,2,52,0.07561477273702621
2,0,2,53,0.08078780770301819
2,0,2,54,0.08652111142873764
2,0,2,55,0.09250303357839584
2,0,2,56,0.09835178405046463
2,0,2,57,0.10368634760379791
2,0,2,58,0.10824473947286606
2,0,2,59,0.11189910769462585
2,0,2,60,0.11469931900501251
2,0,2,61,0.11682246625423431
2,0,2,62,0.11856275051832199
2,0,2,63,0.12023213505744934
2,0,2,64,0.12211181968450546
2,0,2,65,0.12440785020589828
2,0,2,66,0.12714730203151703
2,0,2,67,0.1302199810743332
2,0,2,68,0.13335008919239044
2,0,2,69,0.13616035878658295
2,0,2,70,0.13829021155834198
2,0,2,71,0.13948775827884674
2,0,2,72,0.13968317210674286
2,0,2,73,0.1389850229024887
2,0,2,74,0.13770367205142975
2,0,2,75,0.13624081015586853
2,0,2,76,0.13500523567199707
2,0,2,77,0.13439765572547913
2,0,2,78,0.13467666506767273
2,0,2,79,0.1359810084104538
2,0,2,80,0.13827069103717804
2,0,2,81,0.14136222004890442
2,0,2,82,0.1449141502380371
2,0,2,83,0.14850686490535736
2,0,2,84,0.15171751379966736
2,0,2,85,0.15418271720409393
2,0,2,86,0.15571001172065735
2,0,2,87,0.15628287196159363
