idx,batch_idx,sample_idx,step,value
0,0,0,0,0.010240957140922546
0,0,0,1,0.013099581003189087
0,0,0,2,0.013881390914320946
0,0,0,3,0.014606946147978306
0,0,0,4,0.0153639055788517
0,0,0,5,0.016390284523367882
0,0,0,6,0.017633449286222458
0,0,0,7,0.018754662945866585
0,0,0,8,0.01899794302880764
0,0,0,9,0.018499625846743584
0,0,0,10,0.018428189679980278
0,0,0,11,0.018727147951722145
0,0,0,12,0.019136600196361542
0,0,0,13,0.01861402578651905
0,0,0,14,0.018094927072525024
0,0,0,15,0.018282383680343628
0,0,0,16,0.018154794350266457
0,0,0,17,0.017517903819680214
0,0,0,18,0.01672639325261116
0,0,0,19,0.01662137173116207
0,0,0,20,0.017378898337483406
0,0,0,21,0.017772752791643143
0,0,0,22,0.018241023644804955
0,0,0,23,0.0189529936760664
0,0,0,24,0.01933358609676361
0,0,0,25,0.01914919540286064
0,0,0,26,0.019150519743561745
0,0,0,27,0.019153807312250137
0,0,0,28,0.019056148827075958
0,0,0,29,0.019012175500392914
0,0,0,30,0.019437270238995552
0,0,0,31,0.020298730581998825
0,0,0,32,0.021094489842653275
0,0,0,33,0.021705977618694305
0,0,0,34,0.022460440173745155
0,0,0,35,0.02308596484363079
0,0,0,36,0.02297382801771164
0,0,0,37,0.023376332595944405
0,0,0,38,0.024327611550688744
0,0,0,39,0.024926142767071724
0,0,0,40,0.025097902864217758
0,0,0,41,0.024526746943593025
0,0,0,42,0.024140864610671997
0,0,0,43,0.024021325632929802
0,0,0,44,0.023906506597995758
0,0,0,45,0.024094492197036743
0,0,0,46,0.023939425125718117
0,0,0,47,0.02324267476797104
0,0,0,48,0.022531932219862938
0,0,0,49,0.022831974551081657
0,0,0,50,0.02376101166009903
0,0,0,51,0.025221284478902817
0,0,0,52,0.026668360456824303
0,0,0,53,0.02747747302055359
0,0,0,54,0.027790356427431107
0,0,0,55,0.02802676148712635
0,0,0,56,0.028396228328347206
0,0,0,57,0.028801770880818367
0,0,0,58,0.0286790169775486
0,0,0,59,0.027812698855996132
0,0,0,60,0.027300091460347176
0,0,0,61,0.027128955349326134
0,0,0,62,0.02705463208258152
0,0,0,63,0.026761595159769058
0,0,0,64,0.026362469419836998
0,0,0,65,0.026234975084662437
0,0,0,66,0.026297511532902718
0,0,0,67,0.026089195162057877
0,0,0,68,0.02603800967335701
0,0,0,69,0.025913992896676064
0,0,0,70,0.025305086746811867
0,0,0,71,0.02496572770178318
0,0,0,72,0.02515583299100399
0,0,0,73,0.025406666100025177
0,0,0,74,0.025669081136584282
0,0,0,75,0.026228776201605797
0,0,0,76,0.02717502787709236
0,0,0,77,0.02818802371621132
0,0,0,78,0.029131736606359482
0,0,0,79,0.03001869097352028
0,0,0,80,0.031142137944698334
0,0,0,81,0.03153243660926819
0,0,0,82,0.03161391615867615
0,0,0,83,0.031943727284669876
0,0,0,84,0.031971756368875504
0,0,0,85,0.03168272227048874
0,0,0,86,0.030974725261330605
0,0,0,87,0.030143816024065018
0,0,0,88,0.029763801023364067
0,0,0,89,0.029632501304149628
0,0,0,90,0.02969483844935894
0,0,0,91,0.029910201206803322
0,0,0,92,0.02986263483762741
0,0,0,93,0.0294279046356678
0,0,0,94,0.029678968712687492
0,0,0,95,0.030191635712981224
0,0,0,96,0.030607178807258606
0,0,0,97,0.031095655634999275
0,0,0,98,0.031481556594371796
0,0,0,99,0.03163435310125351
1,0,1,0,0.008582592010498047
1,0,1,1,0.012374510988593102
1,0,1,2,0.014906279742717743
1,0,1,3,0.016040228307247162
1,0,1,4,0.015947643667459488
1,0,1,5,0.015575063414871693
1,0,1,6,0.01580217480659485
1,0,1,7,0.016336238011717796
1,0,1,8,0.01681567169725895
1,0,1,9,0.016565801575779915
1,0,1,10,0.016686787828803062
1,0,1,11,0.017126765102148056
1,0,1,12,0.017184777185320854
1,0,1,13,0.01653740182518959
1,0,1,14,0.01573653146624565
1,0,1,15,0.01535563450306654
1,0,1,16,0.01523804385215044
1,0,1,17,0.014854328706860542
1,0,1,18,0.014975138008594513
1,0,1,19,0.015246371738612652
1,0,1,20,0.015024571679532528
1,0,1,21,0.014776506461203098
1,0,1,22,0.014762903563678265
1,0,1,23,0.014805195853114128
1,0,1,24,0.015059330500662327
1,0,1,25,0.015530731528997421
1,0,1,26,0.015969540923833847
1,0,1,27,0.016094831749796867
1,0,1,28,0.016364583745598793
1,0,1,29,0.01694471575319767
1,0,1,30,0.018025636672973633
1,0,1,31,0.01866484433412552
1,0,1,32,0.01903180219233036
1,0,1,33,0.01991916075348854
1,0,1,34,0.020413503050804138
1,0,1,35,0.020062999799847603
1,0,1,36,0.01921476423740387
1,0,1,37,0.018280785530805588
1,0,1,38,0.01795271970331669
1,0,1,39,0.01780484803020954
1,0,1,40,0.01796439103782177
1,0,1,41,0.018308786675333977
1,0,1,42,0.018173346295952797
1,0,1,43,0.01743279956281185
1,0,1,44,0.017283713445067406
1,0,1,45,0.017621492967009544
1,0,1,46,0.01810074970126152
1,0,1,47,0.018811708316206932
1,0,1,48,0.01929801143705845
1,0,1,49,0.01921704225242138
1,0,1,50,0.01892714388668537
1,0,1,51,0.01910870522260666
1,0,1,52,0.01975996606051922
1,0,1,53,0.020754791796207428
1,0,1,54,0.021150344982743263
1,0,1,55,0.021217048168182373
1,0,1,56,0.021547291427850723
1,0,1,57,0.02176518924534321
1,0,1,58,0.021749306470155716
1,0,1,59,0.021167095750570297
1,0,1,60,0.020633507519960403
1,0,1,61,0.020183756947517395
1,0,1,62,0.01957375556230545
