idx,batch_idx,sample_idx,step,rmse,nmse
5,0,5,7,0.054455675184726715,0.0006723295082338154
5,0,5,8,0.05761122331023216,0.0007528167334385216
5,0,5,9,0.060586199164390564,0.0008328544208779931
5,0,5,10,0.06342301517724991,0.0009129284298978746
5,0,5,11,0.066191166639328,0.0009945950005203485
5,0,5,12,0.06889843940734863,0.0010778449941426516
5,0,5,13,0.07149706780910492,0.0011609095381572843
5,0,5,14,0.07402938604354858,0.0012448380002751946
5,0,5,15,0.07657887041568756,0.0013323196908459067
5,0,5,16,0.07926123589277267,0.0014276020228862762
5,0,5,17,0.08216679841279984,0.0015345648862421513
5,0,5,18,0.0853181704878807,0.0016549965366721153
5,0,5,19,0.08867710083723068,0.0017884367844089866
5,0,5,20,0.0921568050980568,0.0019322204170748591
5,0,5,21,0.09569073468446732,0.002084038918837905
5,0,5,22,0.0992526113986969,0.002242978196591139
5,0,5,23,0.10288382321596146,0.002411121968179941
5,0,5,24,0.10667435824871063,0.0025931913405656815
6,0,6,0,0.021111367270350456,0.00010161049431189895
6,0,6,1,0.024317249655723572,0.0001348723890259862
6,0,6,2,0.03172898665070534,0.00022971266298554838
6,0,6,3,0.03765985742211342,0.0003237362252548337
6,0,6,4,0.04250708594918251,0.0004125660052523017
6,0,6,5,0.047294069081544876,0.0005108456825837493
6,0,6,6,0.05124032124876976,0.0005997491534799337
6,0,6,7,0.055092472583055496,0.0006933641852810979
6,0,6,8,0.05855708569288254,0.0007832992705516517
6,0,6,9,0.06186695769429207,0.0008742626523599029
6,0,6,10,0.06498795747756958,0.0009645262616686523
6,0,6,11,0.06796891242265701,0.0010547941783443093
6,0,6,12,0.07089954614639282,0.0011473996564745903
6,0,6,13,0.07386143505573273,0.0012448966735973954
6,0,6,14,0.0769662857055664,0.0013513399753719568
6,0,6,15,0.08029115945100784,0.0014701621839776635
6,0,6,16,0.08389309793710709,0.0016045431839302182
6,0,6,17,0.08780849725008011,0.0017572934739291668
6,0,6,18,0.09205511212348938,0.001930813305079937
6,0,6,19,0.09665480256080627,0.0021279517095535994
6,0,6,20,0.10161562263965607,0.0023512481711804867
6,0,6,21,0.10691998153924942,0.0026022240053862333
6,0,6,22,0.11249907314777374,0.002879764186218381
6,0,6,23,0.11826101690530777,0.0031809366773813963
6,0,6,24,0.12413202226161957,0.003502952866256237
7,0,7,0,0.023481175303459167,0.00012528143997769803
7,0,7,1,0.02625257521867752,0.00015651722787879407
7,0,7,2,0.03402695804834366,0.0002628046495374292
7,0,7,3,0.040175214409828186,0.00036616376019082963
7,0,7,4,0.04502653703093529,0.00045970501378178596
7,0,7,5,0.04982795938849449,0.000562716624699533
7,0,7,6,0.053846266120672226,0.0006568726385012269
7,0,7,7,0.057896796613931656,0.0007591641042381525
7,0,7,8,0.06178978085517883,0.0008644664194434881
7,0,7,9,0.06579024344682693,0.000979841104708612
7,0,7,10,0.06994801014661789,0.0011074559297412634
7,0,7,11,0.07424962520599365,0.0012477445416152477
7,0,7,12,0.07860863953828812,0.0013984569814056158
7,0,7,13,0.0828566923737526,0.001553584123030305
7,0,7,14,0.08692015707492828,0.0017095531802624464
7,0,7,15,0.09076587110757828,0.0018639531917870045
7,0,7,16,0.09441347420215607,0.0020164756570011377
7,0,7,17,0.09791489690542221,0.0021684463135898113
7,0,7,18,0.10131891816854477,0.0023214227985590696
7,0,7,19,0.1046074852347374,0.0024741142988204956
7,0,7,20,0.1077326089143753,0.002623668871819973
7,0,7,21,0.11066100001335144,0.0027677181642502546
7,0,7,22,0.11342445015907288,0.002907098038122058
7,0,7,23,0.11608719825744629,0.003044559620320797
7,0,7,24,0.1187158152461052,0.0031833357643336058
8,1,0,0,0.020572127774357796,9.557409066474065e-05
8,1,0,1,0.02453847974538803,0.00013595914060715586
8,1,0,2,0.031664784997701645,0.00022636928770225495
8,1,0,3,0.037229035049676895,0.00031289574690163136
8,1,0,4,0.04150800779461861,0.0003889462968800217
8,1,0,5,0.04574050381779671,0.000472316169179976
8,1,0,6,0.04926012456417084,0.0005478206439875066
8,1,0,7,0.05278089642524719,0.000628960260655731
8,1,0,8,0.05606774985790253,0.0007097680936567485
8,1,0,9,0.059312835335731506,0.0007943255477584898
8,1,0,10,0.06251107156276703,0.0008822848903946579
8,1,0,11,0.06568516790866852,0.0009740918758325279
8,1,0,12,0.06887125223875046,0.0010707380715757608
8,1,0,13,0.07205061614513397,0.0011716341832652688
8,1,0,14,0.07524493336677551,0.001277451403439045
8,1,0,15,0.07846206426620483,0.0013884956715628505
8,1,0,16,0.08172570168972015,0.00150571099948138
8,1,0,17,0.08503728359937668,0.0016293501248583198
8,1,0,18,0.08837907016277313,0.0017589535564184189
8,1,0,19,0.09175048023462296,0.0018947189673781395
8,1,0,20,0.0951898917555809,0.0020385582465678453
8,1,0,21,0.09872967004776001,0.002192378742620349
8,1,0,22,0.10234386473894119,0.002355594653636217
8,1,0,23,0.10597600042819977,0.0025259454268962145
8,1,0,24,0.10958229005336761,0.0027013509534299374
9,1,1,0,0.018493691459298134,7.696182001382113e-05
9,1,1,1,0.02299482375383377,0.00011902277037734166
9,1,1,2,0.030095139518380165,0.00020393889280967414
9,1,1,3,0.035307589918375015,0.0002807808923535049
9,1,1,4,0.03940742835402489,0.0003498624137137085
9,1,1,5,0.04314625263214111,0.0004194942011963576
9,1,1,6,0.046273987740278244,0.0004826191288884729
9,1,1,7,0.049422748386859894,0.0005506417946889997
9,1,1,8,0.052492767572402954,0.0006212890148162842
9,1,1,9,0.055718548595905304,0.0007001145277172327
9,1,1,10,0.05912350118160248,0.0007884267834015191
9,1,1,11,0.06274966150522232,0.0008882457623258233
9,1,1,12,0.06663631647825241,0.001001842087134719
9,1,1,13,0.0708022192120552,0.0011311847483739257
9,1,1,14,0.07529081404209137,0.0012793174246326089
9,1,1,15,0.0801256000995636,0.0014490338508039713
9,1,1,16,0.08532256633043289,0.00164318538736552
9,1,1,17,0.09088931232690811,0.0018645876552909613
9,1,1,18,0.09684008359909058,0.002116589341312647
9,1,1,19,0.10315688699483871,0.002401369856670499
9,1,1,20,0.10980480909347534,0.0027202328201383352
9,1,1,21,0.11674797534942627,0.0030741568189114332
9,1,1,22,0.12396253645420074,0.0034644631668925285
9,1,1,23,0.13139748573303223,0.0038906617555767298
9,1,1,24,0.13896237313747406,0.004349205177277327
10,1,2,0,0.02748044766485691,0.00016998416685964912
10,1,2,1,0.026999343186616898,0.00016398377192672342
10,1,2,2,0.03547867387533188,0.00028298309189267457
10,1,2,3,0.041819918900728226,0.0003929428930860013
10,1,2,4,0.047385238111019135,0.0005041970871388912
10,1,2,5,0.05296283960342407,0.0006295467610470951
10,1,2,6,0.057678189128637314,0.0007462850771844387
10,1,2,7,0.06216252222657204,0.0008664872730150819
10,1,2,8,0.06618941575288773,0.000982050085440278
10,1,2,9,0.06986761093139648,0.00109392951708287
10,1,2,10,0.07325626909732819,0.0012023784220218658
10,1,2,11,0.07639086991548538,0.0013073425507172942
10,1,2,12,0.07946649938821793,0.0014147524489089847
10,1,2,13,0.08257698267698288,0.0015279026702046394
10,1,2,14,0.08583765476942062,0.0016514327144250274
10,1,2,15,0.08926504850387573,0.001786707784049213
10,1,2,16,0.09284231066703796,0.001933811348862946
10,1,2,17,0.09652657061815262,0.0020915877539664507
10,1,2,18,0.10027244687080383,0.0022584714461117983
10,1,2,19,0.1040152758359909,0.0024316778872162104
10,1,2,20,0.1077042892575264,0.0026086594443768263
10,1,2,21,0.11131345480680466,0.002787784906104207
10,1,2,22,0.11486271768808365,0.002969663357362151
10,1,2,23,0.11842882633209229,0.003158098552376032
10,1,2,24,0.12211914360523224,0.003359108464792371
11,1,3,0,0.02267283760011196,0.00011582616571104154
11,1,3,1,0.024003708735108376,0.00012986479850951582
11,1,3,2,0.031422462314367294,0.00022261928825173527
11,1,3,3,0.03674726188182831,0.0003045711200684309
11,1,3,4,0.041195716708898544,0.0003829160996247083
11,1,3,5,0.04549683257937431,0.00046721589751541615
