idx,batch_idx,sample_idx,step,value
0,0,0,0,3.054937906199484e-06
0,0,0,1,2.869378022296587e-06
0,0,0,2,3.084352783844224e-06
0,0,0,3,3.120253268207307e-06
0,0,0,4,3.082065859416616e-06
0,0,0,5,2.803716370181064e-06
0,0,0,6,2.88040632767661e-06
0,0,0,7,3.096851742157014e-06
0,0,0,8,3.282668558313162e-06
0,0,0,9,3.5580578696681187e-06
0,0,0,10,3.515643584250938e-06
0,0,0,11,3.6133949379291153e-06
0,0,0,12,3.644817070380668e-06
0,0,0,13,3.384538558748318e-06
0,0,0,14,3.109510771537316e-06
0,0,0,15,8.27183794172015e-06
0,0,0,16,7.886653293098789e-06
0,0,0,17,7.532806193921715e-06
0,0,0,18,7.641567208338529e-06
0,0,0,19,8.049971256696153e-06
0,0,0,20,8.145792889990844e-06
0,0,0,21,8.427380635112058e-06
0,0,0,22,9.122373739955947e-06
0,0,0,23,9.535426215734333e-06
0,0,0,24,9.15042528504273e-06
0,0,0,25,8.508389328198973e-06
0,0,0,26,9.128293640969787e-06
0,0,0,27,9.34422314458061e-06
0,0,0,28,8.810421604721341e-06
0,0,0,29,8.350687494385056e-06
0,0,0,30,1.338636502623558e-05
0,0,0,31,1.3185425814299379e-05
0,0,0,32,1.2983099622942973e-05
0,0,0,33,1.3286038665683009e-05
0,0,0,34,1.4066408766666427e-05
0,0,0,35,1.4357590771396644e-05
0,0,0,36,1.5387680832645856e-05
0,0,0,37,1.7116512026404962e-05
0,0,0,38,1.806999534892384e-05
0,0,0,39,1.7267144357901998e-05
0,0,0,40,1.609888749953825e-05
0,0,0,41,1.677004183875397e-05
0,0,0,42,1.620170587557368e-05
0,0,0,43,1.5237118532240856e-05
0,0,0,44,1.3738082088821102e-05
0,0,0,45,2.0843008314841427e-05
0,0,0,46,1.9505076124914922e-05
0,0,0,47,1.822427657316439e-05
0,0,0,48,1.857699862739537e-05
0,0,0,49,2.0059298549313098e-05
0,0,0,50,1.988994154089596e-05
0,0,0,51,2.1269501303322613e-05
0,0,0,52,2.3258409783011302e-05
0,0,0,53,2.4195207515731454e-05
0,0,0,54,2.2898662791703828e-05
0,0,0,55,2.2049494873499498e-05
0,0,0,56,2.2957634428166784e-05
0,0,0,57,2.2958045519771986e-05
0,0,0,58,2.378515273449011e-05
0,0,0,59,2.19259673031047e-05
0,0,0,60,2.368963760090992e-05
0,0,0,61,2.411681998637505e-05
0,0,0,62,2.3863081878516823e-05
0,0,0,63,2.480242619640194e-05
0,0,0,64,2.6168099793721922e-05
0,0,0,65,2.631173629197292e-05
0,0,0,66,2.826514537446201e-05
0,0,0,67,3.16730875056237e-05
0,0,0,68,3.291673419880681e-05
0,0,0,69,3.0474186132778414e-05
0,0,0,70,2.8972557629458606e-05
0,0,0,71,2.827450225595385e-05
0,0,0,72,2.6520916435401887e-05
0,0,0,73,2.5522713258396834e-05
0,0,0,74,2.3604501620866358e-05
0,0,0,75,2.9042237656540237e-05
0,0,0,76,2.794104875647463e-05
0,0,0,77,2.7293441235087812e-05
0,0,0,78,2.7983262043562718e-05
0,0,0,79,2.9742510378127918e-05
0,0,0,80,2.8931495762662962e-05
0,0,0,81,3.1383056921185926e-05
0,0,0,82,3.446761184022762e-05
0,0,0,83,3.579869371606037e-05
0,0,0,84,3.443200694164261e-05
0,0,0,85,3.411600482650101e-05
0,0,0,86,3.367647514096461e-05
0,0,0,87,3.333429413032718e-05
0,0,0,88,3.350263796164654e-05
0,0,0,89,3.083960109506734e-05
0,0,0,90,3.1464478524867445e-05
0,0,0,91,3.2754858693806455e-05
0,0,0,92,3.2972464396152645e-05
0,0,0,93,3.3762556995498016e-05
0,0,0,94,3.4558019251562655e-05
0,0,0,95,3.391767313587479e-05
0,0,0,96,3.683639079099521e-05
0,0,0,97,4.07239276682958e-05
0,0,0,98,4.143620390095748e-05
0,0,0,99,3.886391277774237e-05
1,0,1,0,2.141364575436455e-06
1,0,1,1,2.0867071270913584e-06
1,0,1,2,2.219232783318148e-06
