idx,batch_idx,sample_idx,step,value
0,0,0,0,1.605380020919256e-05
0,0,0,1,1.3104224308335688e-05
0,0,0,2,1.1916761650354601e-05
0,0,0,3,1.1557670404727105e-05
0,0,0,4,1.1729076504707336e-05
0,0,0,5,1.1934840586036444e-05
0,0,0,6,1.3084046258882154e-05
0,0,0,7,1.3922720427217428e-05
0,0,0,8,1.527863605588209e-05
0,0,0,9,1.581965625518933e-05
0,0,0,10,1.5913741663098335e-05
0,0,0,11,1.5103271834959742e-05
0,0,0,12,1.4442699466599151e-05
0,0,0,13,1.2816946764360182e-05
0,0,0,14,1.2089728443243075e-05
0,0,0,15,2.5134913812507875e-05
0,0,0,16,2.2071704734116793e-05
0,0,0,17,2.056491211988032e-05
0,0,0,18,1.853324101830367e-05
0,0,0,19,1.8759390513878316e-05
0,0,0,20,2.0444820620468818e-05
0,0,0,21,2.3271906684385613e-05
0,0,0,22,2.721107011893764e-05
0,0,0,23,3.212161755072884e-05
0,0,0,24,3.592294888221659e-05
0,0,0,25,3.648435085779056e-05
0,0,0,26,3.6702775105368346e-05
0,0,0,27,3.546978405211121e-05
0,0,0,28,3.619619019445963e-05
0,0,0,29,3.957432636525482e-05
0,0,0,30,5.3775409469380975e-05
0,0,0,31,5.0749516958603635e-05
0,0,0,32,4.937460835208185e-05
0,0,0,33,4.898324186797254e-05
0,0,0,34,5.1619470468722284e-05
0,0,0,35,5.403190152719617e-05
0,0,0,36,5.523715299204923e-05
0,0,0,37,5.737453102483414e-05
0,0,0,38,5.7462566473986953e-05
0,0,0,39,5.61864253540989e-05
0,0,0,40,5.281876292428933e-05
0,0,0,41,4.864781294600107e-05
0,0,0,42,4.3789506889879704e-05
0,0,0,43,4.1465667891316116e-05
0,0,0,44,4.138602162129246e-05
0,0,0,45,5.037877053837292e-05
0,0,0,46,4.893588265986182e-05
0,0,0,47,4.790259845321998e-05
0,0,0,48,4.807443838217296e-05
0,0,0,49,5.051149855717085e-05
0,0,0,50,5.496413359651342e-05
